class_index,dl_name,category_id,item_seq
0,보령부스파정 5mg,1900,198700706
1,뮤테란캡슐 100mg,2483,198801531
2,일양하이트린정 2mg,3351,199101125
3,기넥신에프정(은행엽엑스)(수출용),3483,199102014
4,무코스타정(레바미피드)(비매품),3544,199102825
5,알드린정,3743,199201106
6,뉴로메드정(옥시라세탐),3832,199201807
7,에어탈정(아세클로페낙),4543,199400486
8,리렉스펜정 300mg/PTP,12081,200202194
9,아빌리파이정 10mg,12247,200202889
10,다보타민큐정 10mg/병,12778,200300416
11,써스펜8시간이알서방정 650mg,13395,200301818
12,에빅사정(메만틴염산염)(비매품),13900,200308324
13,리피토정 20mg,16232,200410085
14,크레스토정 20mg,16262,200410326
15,가바토파정 100mg,16548,200500251
16,동아가바펜틴정 800mg,16551,200500254
17,오마코연질캡슐(오메가-3-산에틸에스테르90),16688,200500497
18,리리카캡슐 150mg,18147,200511058
19,종근당글리아티린연질캡슐(콜린알포세레이트) ,18357,200600026
20,콜리네이트연질캡슐 400mg,19232,200605445
21,트루비타정 60mg/병,19552,200607734
22,스토가정 10mg,19607,200607849
23,노바스크정 5mg,19861,200610660
24,마도파정,20014,200611524
25,플라빅스정 75mg,20238,200700907
26,엑스포지정 5/160mg,20877,200703803
27,아토르바정 10mg,21325,200705992
28,라비에트정 20mg,21771,200708376
29,리피로우정 20mg,22074,200709390
30,자누비아정 50mg,22347,200710758
31,맥시부펜이알정 300mg,22362,200710817
32,놀텍정 10mg,24850,200810688
33,자누메트정 50/850mg,25367,200901817
34,큐시드정 31.5mg/PTP,25438,200902214
35,아모잘탄정 5/100mg,25469,200902349
36,트윈스타정 40/5mg,27733,201005081
37,카나브정 60mg,27777,201005501
38,울트라셋이알서방정,27926,202201173
39,졸로푸트정 100mg,27993,201007672
40,트라젠타정(리나글립틴),28763,201106367
41,비모보정 500/20mg,29345,201200417
42,레일라정,29451,201201587
43,리바로정 4mg,29667,201205253
44,트라젠타듀오정 2.5/850mg,30308,201208291
45,아질렉트정(라사길린메실산염),31863,201309347
46,자누메트엑스알서방정 100/1000mg,31885,201309418
47,글리아타민연질캡슐,32310,201310719
48,신바로정,33009,201401963
49,에스원엠프정 20mg,33208,201402463
50,글리틴정(콜린알포세레이트),33880,201403839
51,제미메트서방정 50/1000mg,34597,201405223
52,아토젯정 10/40mg,35206,201500365
53,로수젯정10/5밀리그램,36637,201503658
54,로수바미브정 10/20mg,38162,201600318
55,카발린캡슐 25mg,41768,201702674
56,란스톤엘에프디티정 30mg,18110,200510974
57,쎼로켈정 100mg,10221,200009023
